x,val
0.0,0.0
0.016,0.048
0.032,0.096
0.048,0.14400000000000002
0.064,0.192
0.08,0.24
0.096,0.28800000000000003
0.112,0.336
0.128,0.384
0.14400000000000002,0.43200000000000005
0.16,0.48
0.176,0.528
0.192,0.5760000000000001
0.20800000000000002,0.6240000000000001
0.224,0.672
0.24,0.72
0.256,0.768
0.272,0.8160000000000001
0.28800000000000003,0.8640000000000001
0.304,0.9119999999999999
0.32,0.96
0.336,1.008
0.352,1.056
0.368,1.104
0.384,1.1520000000000001
0.4,1.2000000000000002
0.41600000000000004,1.2480000000000002
0.432,1.296
0.448,1.344
0.464,1.3920000000000001
0.48,1.44
0.496,1.488
0.512,1.536
0.528,1.584
0.544,1.6320000000000001
0.56,1.6800000000000002
0.5760000000000001,1.7280000000000002
0.592,1.7759999999999998
0.608,1.8239999999999998
0.624,1.8719999999999999
0.64,1.92
0.656,1.968
0.672,2.016
0.6880000000000001,2.064
0.704,2.112
0.72,2.16
0.736,2.208
0.752,2.2560000000000002
0.768,2.3040000000000003
0.784,2.3520000000000003
0.8,2.4000000000000004
0.8160000000000001,2.4480000000000004
0.8320000000000001,2.4960000000000004
0.848,2.544
0.864,2.592
0.88,2.64
0.896,2.688
0.912,2.736
0.928,2.7840000000000003
0.9440000000000001,2.8320000000000003
0.96,2.88
0.976,2.928
0.992,2.976
