x,val
0.0,2.0
0.016,2.033024
0.032,2.068096
0.048,2.105216
0.064,2.144384
0.08,2.1856
0.096,2.228864
0.112,2.274176
0.128,2.321536
0.144,2.370944
0.16,2.4224
0.176,2.475904
0.192,2.531456
0.208,2.589056
0.224,2.648704
0.24,2.7104
0.256,2.774144
0.272,2.839936
0.288,2.907776
0.304,2.977664
0.32,3.0496
0.336,3.123584
0.352,3.199616
0.368,3.277696
0.384,3.357824
0.4,3.44
0.416,3.524224
0.432,3.610496
0.448,3.698816
0.464,3.789184
0.48,3.8816
0.496,3.976064
0.512,4.072576
0.528,4.171136
0.544,4.271744
0.56,4.3744
0.576,4.479104
0.592,4.585856
0.608,4.694656
0.624,4.805504
0.64,4.9184
0.656,5.033344
0.672,5.150336
0.688,5.269376
0.704,5.390464
0.72,5.5136
0.736,5.638784
0.752,5.766016
0.768,5.895296
0.784,6.026624
0.8,6.16
0.816,6.295424
0.832,6.432896
0.848,6.572416
0.864,6.713984
0.88,6.8576
0.896,7.003264
0.912,7.150976
0.928,7.300736
0.944,7.452544
0.96,7.6064
0.976,7.762304
0.992,7.920256
