x,val
0.0,1.0
0.016,1.0
0.032,1.0
0.048,1.0
0.064,1.0
0.08,1.0
0.096,1.0
0.112,1.0
0.128,1.0
0.144,1.0
0.16,1.0
0.176,1.0
0.192,1.0
0.208,1.0
0.224,1.0
0.24,1.0
0.256,1.0
0.272,1.0
0.288,1.0
0.304,1.0
0.32,1.0
0.336,1.0
0.352,1.0
0.368,1.0
0.384,1.0
0.4,1.0
0.416,1.0
0.432,1.0
0.448,1.0
0.464,1.0
0.48,1.0
0.496,1.0
0.512,1.0
0.528,1.0
0.544,1.0
0.56,1.0
0.576,1.0
0.592,1.0
0.608,1.0
0.624,1.0
0.64,1.0
0.656,1.0
0.672,1.0
0.688,1.0
0.704,1.0
0.72,1.0
0.736,1.0
0.752,1.0
0.768,1.0
0.784,1.0
0.8,1.0
0.816,1.0
0.832,1.0
0.848,1.0
0.864,1.0
0.88,1.0
0.896,1.0
0.912,1.0
0.928,1.0
0.944,1.0
0.96,1.0
0.976,1.0
0.992,1.0
