x,val
0.0,2.0
0.016,2.0
0.032,2.0
0.048,2.0
0.064,2.0
0.08,2.0
0.096,2.0
0.112,2.0
0.128,2.0
0.144,2.0
0.16,2.0
0.176,2.0
0.192,2.0
0.208,2.0
0.224,2.0
0.24,2.0
0.256,2.0
0.272,2.0
0.288,2.0
0.304,2.0
0.32,2.0
0.336,2.0
0.352,2.0
0.368,2.0
0.384,2.0
0.4,2.0
0.416,2.0
0.432,2.0
0.448,2.0
0.464,2.0
0.48,2.0
0.496,2.0
0.512,2.0
0.528,2.0
0.544,2.0
0.56,2.0
0.576,2.0
0.592,2.0
0.608,2.0
0.624,2.0
0.64,2.0
0.656,2.0
0.672,2.0
0.688,2.0
0.704,2.0
0.72,2.0
0.736,2.0
0.752,2.0
0.768,2.0
0.784,2.0
0.8,2.0
0.816,2.0
0.832,2.0
0.848,2.0
0.864,2.0
0.88,2.0
0.896,2.0
0.912,2.0
0.928,2.0
0.944,2.0
0.96,2.0
0.976,2.0
0.992,2.0
